Name,Conflict,Casualties,Start Year,End Year,Type,Coordinates,URL,Conflict_URL
Battle of Eylau,War of the Fourth Coalition,50000,1807,1807,Battle,"54.4, 20.633333",https://en.wikipedia.org/wiki/Battle_of_Eylau,https://en.wikipedia.org/wiki/War_of_the_Fourth_Coalition
Battle of Fei River,Wu Hu Era,150000,383,383,Battle,"32.4103, 115.404",https://en.wikipedia.org/wiki/Battle_of_Fei_River,https://en.wikipedia.org/wiki/Sixteen_Kingdoms
Battle of Fontenoy,War of the Austrian Succession,19500,1745,1745,Battle,"50.5694, 3.475",https://en.wikipedia.org/wiki/Battle_of_Fontenoy,https://en.wikipedia.org/wiki/War_of_the_Austrian_Succession
Battle of France,World War II,469000,1940,1940,Operation,"50.914800, 2.513078",https://en.wikipedia.org/wiki/Battle_of_France,https://en.wikipedia.org/wiki/World_War_II
Battle of Fredericksburg,American Civil War,17962,1862,1862,Battle,"38.2995, -77.4705",https://en.wikipedia.org/wiki/Battle_of_Fredericksburg,https://en.wikipedia.org/wiki/American_Civil_War
Battle of Gaugamela,Wars of Alexander the Great,301100,331 BC,331 BC,Battle,"36.56, 43.444",https://en.wikipedia.org/wiki/Battle_of_Gaugamela,https://en.wikipedia.org/wiki/Wars_of_Alexander_the_Great
Battle of Gazala,World War II,148000,1942,1942,Operation,"32.145278, 23.3575",https://en.wikipedia.org/wiki/Battle_of_Gazala,https://en.wikipedia.org/wiki/World_War_II
Battle of Gettysburg,American Civil War,51000,1863,1863,Battle,"39.811, -77.225",https://en.wikipedia.org/wiki/Battle_of_Gettysburg,https://en.wikipedia.org/wiki/American_Civil_War
Battle of Ghaghra,Mughal Conquest,13000,1529,1529,Battle,"25.753056, 84.666389",https://en.wikipedia.org/wiki/Battle_of_Ghaghra,https://en.wikipedia.org/wiki/Mughal_Empire
Battle of Greece,World War II,46295,1941,1941,Operation,"37.983972, 23.727806",https://en.wikipedia.org/wiki/Battle_of_Greece,https://en.wikipedia.org/wiki/World_War_II
Battle of Grunwald,Polish-Lithuanian-Teutonic War,13000,1410,1410,Battle,"53.486111, 20.124722",https://en.wikipedia.org/wiki/Battle_of_Grunwald,https://en.wikipedia.org/wiki/Polish%E2%80%93Lithuanian%E2%80%93Teutonic_War
Battle of Guadalajara,Spanish Civil War,12000,1937,1937,Operation,"40.6333, -3.1667",https://en.wikipedia.org/wiki/Battle_of_Guadalajara,https://en.wikipedia.org/wiki/Spanish_Civil_War
Battle of Hattin,Ayyubid-Crusader War,20000,1187,1187,Battle,"32.803611, 35.444444",https://en.wikipedia.org/wiki/Battle_of_Hattin,https://en.wikipedia.org/wiki/Military_history_of_the_Crusader_states#Wars_with_the_Ayyubids
Battle of Heraclea,Pyrrhic War,11000,280 BC,280 BC,Battle,"40.22, 16.669722",https://en.wikipedia.org/wiki/Battle_of_Heraclea,https://en.wikipedia.org/wiki/Pyrrhic_War
Battle of Hong Kong,World War II,18000,1941,1941,Operation,"22.267, 114.188",https://en.wikipedia.org/wiki/Battle_of_Hong_Kong,https://en.wikipedia.org/wiki/World_War_II
Battle of Hurtgen Forest,World War II,63000,1944,1945,Operation,"50.708611, 6.362778",https://en.wikipedia.org/wiki/Battle_of_H%C3%BCrtgen_Forest,https://en.wikipedia.org/wiki/World_War_II
Battle of Inchon,Korean War,17429,1950,1950,Operation,"37.483333, 126.633333",https://en.wikipedia.org/wiki/Battle_of_Inchon,https://en.wikipedia.org/wiki/Korean_War
Battle of Inkerman,Crimean War,15857,1853,1856,Battle,"44.585, 33.592",https://en.wikipedia.org/wiki/Battle_of_Inkerman,https://en.wikipedia.org/wiki/Crimean_War
Battle of Issus,Wars of Alexander the Great,27000,333 BC,333 BC,Battle,"36.837894, 36.211109",https://en.wikipedia.org/wiki/Battle_of_Issus,https://en.wikipedia.org/wiki/Wars_of_Alexander_the_Great
Battle of Iwo Jima,World War II,48700,1945,1945,Operation,"24.783333, 141.316667",https://en.wikipedia.org/wiki/Battle_of_Iwo_Jima,https://en.wikipedia.org/wiki/World_War_II
Battle of Jena-Auerstedt,War of the Fourth Coalition,44830,1806,1806,Battle,"50.95, 11.575",https://en.wikipedia.org/wiki/Battle_of_Jena%E2%80%93Auerstedt,https://en.wikipedia.org/wiki/War_of_the_Fourth_Coalition
Battle of Kalinga,Kalinga War,200000,262 BC,262 BC,Battle,"20.15, 85.5 ",https://en.wikipedia.org/wiki/Kalinga_War,https://en.wikipedia.org/wiki/Kalinga_War
Battle of Keren,World War II,34000,1941,1941,Operation,"15.776667, 38.451111 ",https://en.wikipedia.org/wiki/Battle_of_Keren,https://en.wikipedia.org/wiki/World_War_II
Battle of Khajwa,Mughal Conquest,20000,1658,1659,Battle,"26.052,80.524",https://en.wikipedia.org/wiki/Battle_of_Khajwa,https://en.wikipedia.org/wiki/Mughal_Empire
Battle of Kiev,World War II,700544,1941,1941,Siege,"50.4536, 30.5164",https://en.wikipedia.org/wiki/Battle_of_Kiev_(1941),https://en.wikipedia.org/wiki/World_War_II
Battle of Koniggratz,Austro-Prussian War,47500,1866,1866,Battle,"50.27, 15.75",https://en.wikipedia.org/wiki/Battle_of_K%C3%B6niggr%C3%A4tz,https://en.wikipedia.org/wiki/Austro-Prussian_War
Battle of Kulikovo,List of Mongol and Tatar raids against Rus',136000,1866,1866,Battle,"53.6525, 38.6535",https://en.wikipedia.org/wiki/Battle_of_Kulikovo,https://en.wikipedia.org/wiki/List_of_Mongol_and_Tatar_raids_against_Rus%27
Battle of Kursk,World War II,388000,1943,1943,Operation,"51.716667, 36.183333",https://en.wikipedia.org/wiki/Battle_of_Kursk,https://en.wikipedia.org/wiki/World_War_II
Battle of Lake Trasimene,Second Punic War,30000,217 BC,217 BC,Battle,"43.139444, 12.1075",https://en.wikipedia.org/wiki/Battle_of_Lake_Trasimene,https://en.wikipedia.org/wiki/Second_Punic_War
Battle of Landen,War of the Grand Alliance,28000,1693,1693,Battle,"50.7667, 5.05",https://en.wikipedia.org/wiki/Battle_of_Landen,https://en.wikipedia.org/wiki/Nine_Years%27_War
Battle of Las Navas de Tolosa,Reconquista,60000,1212,1212,Battle,"38.28443, -3.58286",https://en.wikipedia.org/wiki/Battle_of_Las_Navas_de_Tolosa,https://en.wikipedia.org/wiki/Reconquista
Battle of Legnica,Mongol invasion of Poland,30000,1241,1241,Battle,"51.15, 16.25",https://en.wikipedia.org/wiki/Battle_of_Legnica,https://en.wikipedia.org/wiki/First_Mongol_invasion_of_Poland
Battle of Leipzig,War of the Sixth Coalition,92000,1813,1813,Battle,"51.25, 12.64",https://en.wikipedia.org/wiki/Battle_of_Leipzig,https://en.wikipedia.org/wiki/War_of_the_Sixth_Coalition
Battle of Lepanto,Ottoman-Venetian Wars,27566,1571,1571,Battle,"38.2, 21.3",https://en.wikipedia.org/wiki/Battle_of_Lepanto,https://en.wikipedia.org/wiki/Ottoman%E2%80%93Venetian_Wars
Battle of Leuthen,Seven Years' War,28000,1757,1757,Battle,"51.133333, 16.8",https://en.wikipedia.org/wiki/Battle_of_Leuthen,https://en.wikipedia.org/wiki/Seven_Years%27_War
Battle of Leyte Gulf,World War II,12000,1944,1944,Operation,"10.3706, 125.3556 ",https://en.wikipedia.org/wiki/Battle_of_Leyte_Gulf,https://en.wikipedia.org/wiki/World_War_II
Battle of Ligny,Hundred Days,28000,1815,1815,Battle,"50.52027, 4.5814",https://en.wikipedia.org/wiki/Battle_of_Ligny,https://en.wikipedia.org/wiki/Hundred_Days
Battle of Lodz,World War I,125000,1914,1914,Operation,"51.783333, 19.466667",https://en.wikipedia.org/wiki/Battle_of_%C5%81%C3%B3d%C5%BA_(1914),https://en.wikipedia.org/wiki/World_War_I
Battle of Lule Burgas,First Balkan War,42162,1912,1912,Operation,"41.405556, 27.356944",https://en.wikipedia.org/wiki/Battle_of_Lule_Burgas,https://en.wikipedia.org/wiki/First_Balkan_War
Battle of Lutzen,Thirty Years' War,10000,1632,1632,Battle,"51.25, 12.133333",https://en.wikipedia.org/wiki/Battle_of_L%C3%BCtzen_(1632),https://en.wikipedia.org/wiki/Thirty_Years%27_War
Battle of Luzon,World War II,345330,1945,1945,Operation,"16, 121",https://en.wikipedia.org/wiki/Battle_of_Luzon,https://en.wikipedia.org/wiki/World_War_II
Battle of Magnesia,Roman-Seleucid War,53350,190 BC,190 BC,Battle,"38.6167, 27.4333",https://en.wikipedia.org/wiki/Battle_of_Magnesia,https://en.wikipedia.org/wiki/Roman%E2%80%93Seleucid_War
Battle of Malaya/Battle of Singapore,World War II,143800,1941,1942,Operation,"4, 102.5",https://en.wikipedia.org/wiki/Malayan_Campaign,https://en.wikipedia.org/wiki/World_War_II
Battle of Malplaquet,War of the Spanish Succession,36763,1709,1709,Battle,"50.319722, 3.836667",https://en.wikipedia.org/wiki/Battle_of_Malplaquet,https://en.wikipedia.org/wiki/War_of_the_Spanish_Succession
Battle of Manila,World War II,500000,1945,1945,Siege,"14.583333, 120.966667",https://en.wikipedia.org/wiki/Battle_of_Manila_(1945),https://en.wikipedia.org/wiki/World_War_II
Battle of Marengo,War of the Second Coalition,19600,1800,1800,Battle,"44.883333, 8.683333",https://en.wikipedia.org/wiki/Battle_of_Marengo,https://en.wikipedia.org/wiki/War_of_the_Second_Coalition
Battle of Marignano,War of the League of Cambrai,22000,1515,1515,Battle,"45.366667, 9.316667",https://en.wikipedia.org/wiki/Battle_of_Marignano,https://en.wikipedia.org/wiki/War_of_the_League_of_Cambrai
Battle of Mars-la-Tour/Battle of Gravelotte,Franco-Prussian War,34000,1870,1870,Battle,"49.103095, 5.872536",https://en.wikipedia.org/wiki/Battle_of_Mars-la-Tour,https://en.wikipedia.org/wiki/Franco-Prussian_War
Battle of Messines,World War I,59562,1917,1917,Operation,"50.7644, 2.8981",https://en.wikipedia.org/wiki/Battle_of_Messines_(1917),https://en.wikipedia.org/wiki/World_War_I
Battle of Mohacs,Ottoman-Habsburg wars,30000,1526,1526,Battle,"45.941389, 18.647222",https://en.wikipedia.org/wiki/Battle_of_Moh%C3%A1cs,https://en.wikipedia.org/wiki/Ottoman%E2%80%93Hungarian_wars
Battle of Mohi,Mongol invasion of Europe,15000,1241,1241,Battle,"47.977747, 20.913292",https://en.wikipedia.org/wiki/Battle_of_Mohi,https://en.wikipedia.org/wiki/Mongol_invasion_of_Europe
Battle of Mons Graupius,Roman conquest of Britain,10360,84,84,Battle,"57.043, -2.627",https://en.wikipedia.org/wiki/Battle_of_Mons_Graupius,https://en.wikipedia.org/wiki/Roman_conquest_of_Britain
Battle of Mons/Battle of Le Cateau,World War I,10712,1914,1914,Battle,"50.104167, 3.544444",https://en.wikipedia.org/wiki/Battle_of_Le_Cateau,https://en.wikipedia.org/wiki/World_War_I
Battle of Monte Cassino,World War II,185000,1944,1944,Operation,"41.483333, 13.816667",https://en.wikipedia.org/wiki/Battle_of_Monte_Cassino,https://en.wikipedia.org/wiki/World_War_II
Battle of Moscow,World War II,1000000,1941,1941,Operation,"55.75, 37.633333",https://en.wikipedia.org/wiki/Battle_of_Moscow,https://en.wikipedia.org/wiki/World_War_II
Battle of Mukden,Russo-Japanese War,160000,1905,1905,Operation,"41.783333, 123.433333",https://en.wikipedia.org/wiki/Battle_of_Mukden,https://en.wikipedia.org/wiki/Russo-Japanese_War
Battle of Muzayyah,Muslim conquest of Persia,10000,633,633,Battle,"33.743756, 42.303281",https://en.wikipedia.org/wiki/Battle_of_Muzayyah,https://en.wikipedia.org/wiki/Muslim_conquest_of_Persia
Battle of Nahavand,Muslim conquest of Persia,28500,642,642,Battle,"34.188611, 48.376944",https://en.wikipedia.org/wiki/Battle_of_Nah%C4%81vand,https://en.wikipedia.org/wiki/Muslim_conquest_of_Persia
Battle of Nanchang,Second Sino-Japanese War,75328,1939,1939,Siege,"28.683333, 115.883333",https://en.wikipedia.org/wiki/Battle_of_Nanchang,https://en.wikipedia.org/wiki/Second_Sino-Japanese_War
Battle of Narva,World War II,550000,1944,1944,Operation,"59.383333, 28.2",https://en.wikipedia.org/wiki/Battle_of_Narva_(1944),https://en.wikipedia.org/wiki/World_War_II
Battle of Nordlingen,Thirty Years' War,10400,1634,1634,Battle,"48.805, 10.492778",https://en.wikipedia.org/wiki/Battle_of_N%C3%B6rdlingen_(1634),https://en.wikipedia.org/wiki/Thirty_Years%27_War
Battle of Okinawa,World War II,158400,1945,1945,Operation,"26.5, 128",https://en.wikipedia.org/wiki/Battle_of_Okinawa,https://en.wikipedia.org/wiki/World_War_II
Battle of Omdurman,Mahdist War,20430,1898,1898,Battle,"15.751944, 32.52",https://en.wikipedia.org/wiki/Battle_of_Omdurman,https://en.wikipedia.org/wiki/Mahdist_War
Battle of Pharsalus,Caesar's Civil War,17000,48 BC,48 BC,Battle,"39.3, 22.383333",https://en.wikipedia.org/wiki/Battle_of_Pharsalus,https://en.wikipedia.org/wiki/Caesar%27s_Civil_War
Battle of Plataea,Greco-Persian Wars,257000,479 BC,479 BC,Battle,"38.21, 23.29",https://en.wikipedia.org/wiki/Battle_of_Plataea,https://en.wikipedia.org/wiki/Greco-Persian_Wars
Battle of Pydna,Third Macedonian War,31100,168 BC,168 BC,Battle,"40.365278, 22.613056",https://en.wikipedia.org/wiki/Battle_of_Pydna,https://en.wikipedia.org/wiki/Third_Macedonian_War
Battle of Ramillies,War of the Spanish Succession,22663,1706,1706,Battle,"50.638611, 4.912778",https://en.wikipedia.org/wiki/Battle_of_Ramillies,https://en.wikipedia.org/wiki/War_of_the_Spanish_Succession
Battle of Ravenna,War of the League of Cambrai,18000,1512,1512,Battle,"44.416667, 12.2",https://en.wikipedia.org/wiki/Battle_of_Ravenna_(1512),https://en.wikipedia.org/wiki/War_of_the_League_of_Cambrai
Battle of Red Cliffs,Three Kingdoms,100000,208,208,Battle,"29.869722, 113.620278",https://en.wikipedia.org/wiki/Battle_of_Red_Cliffs,https://en.wikipedia.org/wiki/Three_Kingdoms
Battle of Ridaniya,Ottoman wars in the Near East,13000,1517,1517,Battle,"30.044444, 31.235833 ",https://en.wikipedia.org/wiki/Battle_of_Ridaniya,https://en.wikipedia.org/wiki/Ottoman_wars_in_the_Near_East
Battle of Sacheon (1598 AD),Japanese invasions of Korea (1592-98),30000,1598,1598,Battle,"35.25, 128.25",https://en.wikipedia.org/wiki/Battle_of_Sacheon_(1598),https://en.wikipedia.org/wiki/Japanese_invasions_of_Korea_(1592%E2%80%9398)
Battle of Saipan,World War II,43500,1944,1944,Operation,"15.183333, 145.75",https://en.wikipedia.org/wiki/Battle_of_Saipan,https://en.wikipedia.org/wiki/World_War_II
Battle of Sakarya,Greco-Turkish War,61000,1921,1921,Battle,"41.1264, 30.6489",https://en.wikipedia.org/wiki/Battle_of_Sakarya,https://en.wikipedia.org/wiki/Greco-Turkish_War_(1919%E2%80%931922)
Battle of Salamanca,Peninsular War,18800,1812,1812,Battle,"40.89353, -5.64526",https://en.wikipedia.org/wiki/Battle_of_Salamanca,https://en.wikipedia.org/wiki/Peninsular_War
Battle of Salsu,Goguryeo-Sui Wars,302300,612,612,Battle,"39.6, 125.416667 ",https://en.wikipedia.org/wiki/Battle_of_Salsu,https://en.wikipedia.org/wiki/Goguryeo%E2%80%93Sui_War
Battle of Samugarh,Mughal Conquest,32000,1658,1658,Battle,"27.18, 78.02",https://en.wikipedia.org/wiki/Battle_of_Samugarh,https://en.wikipedia.org/wiki/Mughal_Empire
Battle of Saniyy,Muslim conquest of Persia,5000,633,633,Battle,"33.437627, 42.878083",https://en.wikipedia.org/wiki/Battle_of_Saniyy,https://en.wikipedia.org/wiki/Muslim_conquest_of_Persia
Battle of Sedan,Franco-Prussian War,26000,1870,1870,Battle,"49.7, 4.944444",https://en.wikipedia.org/wiki/Battle_of_Sedan,https://en.wikipedia.org/wiki/Franco-Prussian_War
Battle of Sekigahara,Sengoku period,60000,1600,1600,Battle,"35.3667, 136.4667",https://en.wikipedia.org/wiki/Battle_of_Sekigahara,https://en.wikipedia.org/wiki/Sengoku_period
Battle of Sentinum,Third Samnite War,33500,295 BC,295 BC,Battle,"43.418489, 12.85225",https://en.wikipedia.org/wiki/Battle_of_Sentinum,https://en.wikipedia.org/wiki/Samnite_Wars#Third_Samnite_War
Battle of Shanggao,Second Sino-Japanese War,42000,1941,1941,Operation,"28.1833, 114.883",https://en.wikipedia.org/wiki/Battle_of_Shanggao,https://en.wikipedia.org/wiki/Second_Sino-Japanese_War
Battle of Shanghai,Second Sino-Japanese War,290000,1937,1937,Siege,"31.2323, 121.469",https://en.wikipedia.org/wiki/Battle_of_Shanghai,https://en.wikipedia.org/wiki/Second_Sino-Japanese_War
Battle of Shiloh,American Civil War,24000,1862,1862,Battle,"35.15068, -88.32183",https://en.wikipedia.org/wiki/Battle_of_Shiloh,https://en.wikipedia.org/wiki/American_Civil_War
Battle of South Shanxi,Second Sino-Japanese War,120000,1941,1941,Siege,"38, 112",https://en.wikipedia.org/wiki/Battle_of_South_Shanxi,https://en.wikipedia.org/wiki/Second_Sino-Japanese_War
Battle of Spotsylvania Court House,American Civil War,30000,1864,1864,Battle,"38.2242, -77.5981",https://en.wikipedia.org/wiki/Battle_of_Spotsylvania_Court_House,https://en.wikipedia.org/wiki/American_Civil_War
Battle of Stalingrad,World War II,1798619,1942,1943,Siege,"48.7, 44.516667",https://en.wikipedia.org/wiki/Battle_of_Stalingrad,https://en.wikipedia.org/wiki/World_War_II
Battle of Stones River,American Civil War,24000,1862,1863,Battle,"35.88, -86.435",https://en.wikipedia.org/wiki/Battle_of_Stones_River,https://en.wikipedia.org/wiki/American_Civil_War
Battle of Suixian-Zaoyang,Second Sino-Japanese War,49000,1939,1939,Operation,"32.1252, 112.751",https://en.wikipedia.org/wiki/Battle_of_Suixian%E2%80%93Zaoyang,https://en.wikipedia.org/wiki/Second_Sino-Japanese_War
Battle of Talavera,Peninsular War,13900,1809,1809,Battle,"39.966667, -4.833333",https://en.wikipedia.org/wiki/Battle_of_Talavera,https://en.wikipedia.org/wiki/Peninsular_War
Battle of Tannenberg,World War I,183873,1914,1914,Operation,"53.495833, 20.134444",https://en.wikipedia.org/wiki/Battle_of_Tannenberg,https://en.wikipedia.org/wiki/World_War_I
Battle of Teruel,Spanish Civil War,142000,1937,1938,Operation,"40.35, -1.1",https://en.wikipedia.org/wiki/Battle_of_Teruel,https://en.wikipedia.org/wiki/Spanish_Civil_War
Battle of the Bulge,World War II,186369,1944,1945,Operation,"50.25, 5.666667",https://en.wikipedia.org/wiki/Battle_of_the_Bulge,https://en.wikipedia.org/wiki/World_War_II
Battle of the Catalaunian Plains,Hunnic Invasion,165000,451,451,Battle,"49, 4.5",https://en.wikipedia.org/wiki/Battle_of_the_Catalaunian_Plains,https://en.wikipedia.org/wiki/Huns#Unified_Empire_under_Attila
Battle of the Downs,Eighty Years' War,15000,1639,1639,Battle,"51.2, 1.5",https://en.wikipedia.org/wiki/Battle_of_the_Downs,https://en.wikipedia.org/wiki/Eighty_Years%27_War
